id,subject,question_type,category,category_key,flags,note,gold,extract,extracted,parsed,method,finish_reason,num_output_tokens,zlib_last10k,repeated_line_ratio,run2_correct
validation_Architecture_and_Engineering_15,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. -1.74k compr,phrase,"-1.84, and I have the wrong x_D.",,fail,length,16384,0.0681,0.986,False
validation_Architecture_and_Engineering_17,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. 29.693 * 106 $m^{3}$,none,"To calculate the volume of water impounded when the water level reaches **700 m**, using the **prismoidal formula**, we need to apply the formula for volume between two contours, given areas at differ",,fail,length,16384,0.0595,0.974,False
validation_Architecture_and_Engineering_18,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"B. 947.8 m, 216°45'",phrase,"947.8, and I have a calculation error in the cumulative.",,fail,length,16384,0.0882,0.871,False
validation_Architecture_and_Engineering_29,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. Gradient = 1 in 33.95 m fall,phrase,C,C,rule,length,16384,0.0643,0.989,False
validation_Architecture_and_Engineering_6,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. The scale of the photographs is 1 cm = 62.5 m;Air base = 625 m,phrase,not 1 cm : 75 m — but maybe they want scale in different units?,,fail,length,16384,0.0386,0.963,True
validation_Architecture_and_Engineering_7,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 2.603,phrase,"2.703, and the formula is:",B,rule,length,16384,0.0596,0.994,True
validation_Architecture_and_Engineering_8,Architecture_and_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"C. $\alpha$ = 20°10'11.82"",$\beta $ = 30°20'32.73""",phrase,"option B, with 20°10'11.82"" and 30°20'38.73"", and they used a different precision or a different formula.",B,rule,length,16384,0.0992,0.935,False
validation_Art_1,Art,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. Hermione,phrase,> B. Matilda,B,rule,length,16384,0.0436,0.978,True
validation_Art_12,Art,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. PAUL CÉZANNE,phrase,B,B,rule,length,16384,0.0318,0.991,False
validation_Art_21,Art,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. Artemisia Gentileschi 1612-13,phrase,Caravaggio — and the year is 1597–1598 — so option B is wrong.,B,rule,length,16384,0.0394,0.974,False
validation_Art_Theory_3,Art_Theory,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. the attendants to the princess in the foreground,none,"The painting in question is **“The Artist’s Studio”** (also known as **“The Studio of the Painter”**) by **Rembrandt**, but more accurately, it is **“The Night Watch”** — wait, no, that’s a different ",,fail,length,16384,0.0168,0.976,True
validation_Biology_17,Biology,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. Lateral pterygoid plate,none,"The image shows a **lateral view of the base of the skull**, with numbered labels pointing to specific anatomical structures.

Let’s analyze label **204**:

- It is located near the **temporal bone**,",,fail,length,16384,0.0515,0.968,False
validation_Biology_20,Biology,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. 65% of the maximum HbO2 would be delivered.,phrase,often calculated as:,,fail,length,16384,0.0474,0.989,False
validation_Chemistry_28,Chemistry,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"A. (A) = 6.87D, (B) = 4.11D",none,"To determine the dipole moments of compounds (A) and (B), we need to analyze their molecular symmetry and the direction of the dipole moments.

---

**Compound (A):**  
Structure: A benzene ring with ",,fail,length,16384,0.0543,0.923,True
validation_Electronics_18,Electronics,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 3 e^{-2t} u(t),phrase,3t e^{-2t}u(t).,,fail,length,16384,0.0512,0.951,True
validation_Electronics_28,Electronics,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 75 + 13.3 cos(250t - 57.7°)V,none,"We are given a circuit with AC sources and passive components, and we need to find $ v_2 $, which is the voltage across the 15Ω resistor (and also across the inductor, since they are in series). The c",,fail,length,16384,0.0713,0.839,False
validation_Energy_and_Power_1,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 350.93K,none,"We are given a hemispherical heat source embedded in a large silicon substrate, with:

- Radius of hemisphere: \( r_o = 0.1 \, \text{mm} = 0.1 \times 10^{-3} \, \text{m} = 10^{-4} \, \text{m} \)
- The",,fail,length,16384,0.0449,0.993,True
validation_Energy_and_Power_10,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 0.71 W/m K,none,"To find the thermal conductivity of the test specimen material using the **guarded hot plate method**, we use the formula:

\[
k = \frac{Q}{A \cdot \Delta T}
\]

Where:
- \( k \) = thermal conductivit",,fail,length,16384,0.0373,0.988,False
validation_Energy_and_Power_12,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. W=917Btu,phrase,1017 Btu.,,fail,length,16384,0.076,0.987,False
validation_Energy_and_Power_13,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. q=0.48,phrase,to assume that the evaporator is at -34°C — and the refrigerant is saturated — quality = 1.0 — but not in options.,,fail,length,16384,0.0484,0.964,False
validation_Energy_and_Power_14,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. 1.52 m,phrase,B,B,rule,length,16384,0.0614,0.972,False
validation_Energy_and_Power_20,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. W' =-6.3MW,none,"We are given a pump system in a tall building. We need to find the **pump work** required to raise water from a pressure of 600 kPa at 5 m below ground level to 200 kPa at the top floor, which is 150 ",,fail,length,16384,0.0432,0.973,False
validation_Energy_and_Power_25,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"C. (1) 6081 kW, (2) 0.536",phrase,B,B,rule,length,16384,0.0522,0.989,False
validation_Energy_and_Power_4,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. $0.00047\frac{Btu}{lbm\cdotR}$,none,"We are given an adiabatic expansion of R-134a through a valve (throttling process), from:

- **State 1 (inlet):** 100 psia, 100°F  
- **State 2 (outlet):** Saturated vapor at 10 psia

We are to find t",,fail,length,16384,0.058,0.985,False
validation_Energy_and_Power_8,Energy_and_Power,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. 22.6 cm,none,"We are given a manometer with multiple fluids: Meriam red oil (SG = 0.827), water, mercury, and we’re told that the pressure difference \( p_B - p_A = 97 \) kPa. We need to find the height \( H \) in ",,fail,length,16384,0.044,0.976,False
validation_Finance_21,Finance,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"A. $2,100",phrase,C,C,rule,length,16384,0.0986,0.871,True
validation_Finance_28,Finance,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 5.58,phrase,C,C,rule,length,16384,0.0643,0.992,True
validation_Geography_1,Geography,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"D. 2.5kN.m, -3kN.m",none,"To determine the torque at sections 1-1 and 2-2, we need to apply the **principle of equilibrium** for torsional loading in a rod fixed at one end.

The rod is fixed at the left end, so it cannot rota",,fail,length,16384,0.0432,0.978,False
validation_Geography_8,Geography,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 30kPa,none,"To determine the **pore water pressure at point G**, we need to use the **flow network** provided.

---

### Step 1: Understand the flow network

- The dam height is **H = 16 m** (from ground level to",,fail,length,16384,0.0732,0.989,False
validation_Materials_13,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 11.6*10^(-3) rad,phrase,C,C,rule,length,16384,0.0378,0.988,False
validation_Materials_19,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 1.6*10^(-3) mm/mm,phrase,"1.2e-3, and the strain is small.",,fail,length,16384,0.0533,0.983,False
validation_Materials_20,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. 0.0281*10^(-3) mm/mm,phrase,"0.00680, and we need to calculate it as (3 - 2)/400 = 1/400 = 0.0025 — not.",,fail,length,16384,0.0532,0.986,False
validation_Materials_22,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. 0.0356 in^2,none,"To determine the required cross-sectional area of member **BC**, we need to:

1. **Find the force in member BC** using method of joints or sections.
2. **Determine the axial stress** in member BC.
3. ",,fail,length,16384,0.0171,0.99,False
validation_Materials_25,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 0.841 g/cm^3,phrase,0.841 because of rounding.,,fail,length,16384,0.0488,0.0,True
validation_Materials_27,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. 250 psi,none,"We are given:

- The wooden specimen is subjected to an **average normal stress** of **2 ksi** (i.e., 2000 psi) along the axis of the specimen.
- We are to find the **average shear stress** along sect",,fail,length,16384,0.0657,0.917,False
validation_Materials_3,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. 1.10 MPa,phrase,"1.77 MPa, but that’s not in options.",,fail,length,16384,0.0427,0.972,False
validation_Materials_30,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. 0.00443 mm/mm,none,"We are given a triangular plate fixed at its base, with apex A displaced horizontally by 5 mm. We are to find the **average normal strain εₓ along the x-axis**.

---

### Step 1: Understand the geomet",,fail,length,16384,0.0219,0.95,False
validation_Materials_4,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 7.77 MPa,phrase,-65.1 MPa — and we have a mistake in the sign.,A,rule,length,16384,0.1171,0.812,False
validation_Materials_6,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. [-430],none,"To determine the Miller indices for a direction in a crystal lattice, we use the **direction vector** relative to the unit cell axes. The steps are:

1. **Identify the intercepts** of the direction ve",A,rule,length,16384,0.0332,0.984,False
validation_Materials_9,Materials,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 62.2 MPa,none,"To determine the **average shear stress** in pin B subjected to **double shear**, we need to:

1. **Find the force acting on pin B** (i.e., the shear force in the pin).
2. **Calculate the cross-sectio",,fail,length,16384,0.1218,0.983,False
validation_Mechanical_Engineering_11,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"A. 41.7Mpa,44.83Mpa",none,"To find the **maximum stress at the hole and the notch**, we need to analyze the given figure, which shows a **rectangular bar** subjected to **axial tensile loads of 65000 N on both ends**. The bar h",,fail,length,16384,0.0273,0.971,False
validation_Mechanical_Engineering_18,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. $\alpha=(pw_{2}i-pw_{1}j+w_{1}w_{2}k)rad/s^{2}$,phrase,C,C,rule,length,16384,0.0511,0.99,False
validation_Mechanical_Engineering_2,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. D,phrase,A,A,rule,length,16384,0.033,1.0,False
validation_Mechanical_Engineering_21,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"A. h=125.358m,t=27.62s",boxed,"h = 125.358 \, m",,fail,length,16384,0.0587,0.96,False
validation_Mechanical_Engineering_22,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"B. 6857lb,1643lb",none,"We are given a bolted joint with fluctuating load between 0 and 8000 lb. The clamped plates have stiffness $ k_c = 6k_b $. The bolt is made of cold-drawn steel, and we assume threads stop immediately ",,fail,length,16384,0.0386,0.993,True
validation_Mechanical_Engineering_23,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. 14700lb,none,"To find the maximum tensile load that can be applied to the welded plates, we need to calculate the **allowable shear stress** in the welds and then use the **weld strength formula** for fillet welds.",,fail,length,16384,0.0888,0.979,False
validation_Mechanical_Engineering_27,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. F=7480lbf,phrase,7490 — which is close to 7500 — but 11966 is not close.,,fail,length,16384,0.1287,0.809,False
validation_Mechanical_Engineering_28,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. 37.59,phrase,not listed.,,fail,length,16384,0.0727,0.979,False
validation_Mechanical_Engineering_3,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. B,phrase,"(d) — because it shows the semicircular indentation on the left side, which matches the U-shape in the top view.",,fail,length,16384,0.0376,0.981,False
validation_Mechanical_Engineering_5,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. K>0,none,"To determine the range of **K** for which the system is stable using the **Routh-Hurwitz criterion**, we need to:

1. **Find the characteristic equation** of the closed-loop system.
2. **Construct the",,fail,length,16384,0.028,0.996,False
validation_Mechanical_Engineering_8,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. $h=1.644\times10^{5}km$,none,"To determine the distance $ h $ at which the spacecraft S experiences equal gravitational attractions from the Earth and the Sun, we use **Newton’s Law of Universal Gravitation**.

---

### Step 1: Se",,fail,length,16384,0.0683,0.955,False
validation_Mechanical_Engineering_9,Mechanical_Engineering,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,"C. K2=0.06,K1=0.277",none,"To solve this problem, we need to analyze the given feedback control system and derive the closed-loop transfer function. Then, using the desired peak time and settling time, we can determine the valu",,fail,length,16384,0.0741,0.985,False
validation_Music_20,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. ABCD,phrase,none — but that’s not an option.,,fail,length,16384,0.0451,0.991,False
validation_Music_21,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. augmented 5th,none,"To determine the harmonic interval between the third horn (Cor. III) and the second violins (Violine II) in bar 11, we must analyze the notes written on their respective staves.

First, locate bar 11 ",A,rule,length,16384,0.0268,0.988,False
validation_Music_23,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. box 3,none,"To solve this, we need to convert the compound time signature (9/8) into simple time. In compound time, each beat is divided into three equal parts. So, 9/8 means 3 beats per measure, each beat being ",,fail,length,16384,0.0672,0.981,False
validation_Music_24,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,D. Ic,none,"To determine the chord labeled **C** in the given piano score in the key of **B♭ major**, let’s follow a step-by-step approach:

---

### Step 1: Understand the key signature
The key signature is **B♭",,fail,length,16384,0.048,0.995,False
validation_Music_28,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. minor 7th,none,"To determine the interval between the two notes shown in the staff, let’s analyze the notation:

- The **left note** is a **C** (the note on the first line of the treble clef), and it has a **♭ symbol",,fail,length,16384,0.0211,0.975,True
validation_Music_30,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,A. circle the first option,none,"To determine the correct key of the melody, we must analyze the notes and their relationship to the given key signatures.

The melody is written in **2/4 time** with a **treble clef** and includes the",,fail,length,16384,0.0192,0.951,False
validation_Music_6,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. Hemiola,none,"The second measure of the given piano score shows a rhythmic pattern that begins with a **rest** (or a note on the first beat) and then continues with a sequence of notes. However, looking closely at ",A,rule,length,16384,0.0181,0.985,False
validation_Music_7,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. Vc,none,"To determine the chord at position **A** in the key of **E minor**, we must first understand the harmonic structure of E minor.

---

### Step 1: Identify the key signature
The key signature is **E mi",,fail,length,16384,0.0422,0.985,False
validation_Music_8,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,B. AØ7,none,"The given image shows a piano chord chart with two staves: treble and bass. The treble clef has a **C major key signature** (three sharps: F#, C#, G#), and the bass clef also has the same key signatur",,fail,length,16384,0.0359,0.967,False
validation_Music_9,Music,multiple-choice,1. 응답 잘림 - 반복 루프,trunc_loop,,,C. BC,none,"To solve this, we need to understand what a **first inversion of a major-minor seventh chord** looks like.

---

### Step 1: Understand the chord structure

A **major-minor seventh chord** (also calle",D,rule,length,16384,0.0376,0.987,False
validation_Pharmacy_19,Pharmacy,open,1. 응답 잘림 - 반복 루프,trunc_loop,,,B,phrase,Step D.,,fail,length,16384,0.0458,0.991,False
validation_Agriculture_12,Agriculture,multiple-choice,2. 최종 답 없음,no_answer,,explicitly picks no option ('no option is correct'),A. Cholera,phrase,"None of the above — but if forced to choose, no option is correct.",,fail,stop,380,0.4844,0.0,False
validation_Electronics_25,Electronics,open,2. 추출 실패 (답은 맞음),extract_fail,,"'Answer:' line is a sentence, the value '50V' is on the next line -> extractor keeps only the sentence",50,phrase,"Given the ambiguity in terminology, and based on standard interpretation in rectifier circuits, the safe PRV (Peak Reverse Voltage) rating for the diode is:",,fail,stop,1200,0.406,0.0,True
validation_Basic_Medical_Science_10,Basic_Medical_Science,open,3. 표기 차이,notation,,"answers 'c' (correct); open gold 'C' is a letter -> MMMU_preproc maps the response to A, gt stays 'C' -> can never match",C,phrase,c,A,rule,stop,240,0.4302,0.0,False
validation_Biology_10,Biology,open,3. 표기 차이,notation,,\dfrac{1}{64} vs 1/64,1/64,boxed,\dfrac{1}{64},,fail,stop,979,0.3967,0.043,False
validation_Electronics_2,Electronics,open,3. 표기 차이,notation,,2\sqrt{2} (=2.828) vs 2.83,2.83,boxed,2\sqrt{2},,fail,stop,584,0.5021,0.0,False
validation_Electronics_27,Electronics,open,3. 표기 차이,notation,,240 deg vs -120 deg: same angle,-120,phrase,240,,fail,stop,1063,0.4054,0.0,False
validation_Finance_17,Finance,open,3. 표기 차이,notation,,"1,000 vs 1000 (thousands separator)",1000,phrase,"1,000",,fail,stop,862,0.4466,0.0,False
validation_Finance_20,Finance,open,3. 표기 차이,notation,,"7,243,000 vs 7243000 (thousands separator)",7243000,phrase,"7,243,000",,fail,stop,1359,0.3929,0.0,True
validation_Finance_30,Finance,open,3. 표기 차이,notation,,"1,249.24 vs 1249 (separator; gold is the rounded value)",1249,phrase,"1,249.24",,fail,stop,747,0.4505,0.0,False
validation_Manage_20,Manage,open,3. 표기 차이,notation,,"'2,960 unfavorable' vs 2960 (separator + trailing word)",2960,phrase,"2,960 unfavorable",,fail,stop,271,0.4858,0.0,False
validation_Math_15,Math,open,3. 표기 차이,notation,,"\frac{24}{7} vs ['24/7','3.429'] (list gold is never matched by the Qwen scorer either)","['24/7', '3.429']",boxed,\frac{24}{7},,fail,stop,619,0.4277,0.0,False
validation_Math_24,Math,multiple-choice,3. 표기 차이,notation,,'Final Answer: r = \frac{2R}{3}' is option A in LaTeX; 'Correct Option: A' comes later but is not a marker,A. r = 2R/3,phrase,r = \frac{2R}{3},,fail,stop,1225,0.3726,0.0,False
validation_Accounting_1,Accounting,multiple-choice,4. 객관식 오답,mc_wrong,,,B. $7,phrase,C,C,rule,stop,5779,0.2136,0.124,False
validation_Accounting_15,Accounting,multiple-choice,4. 객관식 오답,mc_wrong,,,"A. $4,840",phrase,C,C,rule,stop,12230,0.293,0.062,False
validation_Accounting_30,Accounting,multiple-choice,4. 객관식 오답,mc_wrong,,,A. Yes,phrase,B,B,rule,stop,632,0.5014,0.0,False
validation_Agriculture_11,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,B. Confused,phrase,A,A,rule,stop,245,0.5117,0.0,False
validation_Agriculture_13,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,C. Remove all weeds as they will impact on yield,phrase,D,D,rule,stop,300,0.499,0.0,False
validation_Agriculture_15,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,B. Downy mildew (oomycete),phrase,D,D,rule,stop,258,0.5407,0.0,False
validation_Agriculture_17,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,short_answer_no_marker,,E. Powdery mildew,none,C. Unidentified fungal infection,C,rule,stop,7,1.25,0.0,False
validation_Agriculture_20,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,short_answer_no_marker,,E. Combination of fungal and abiotic dieback,none,C. Fungal dieback ('ash dieback'),C,rule,stop,12,1.0303,0.0,False
validation_Agriculture_22,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,B. Bacterial disease,phrase,A,A,rule,stop,230,0.5674,0.0,False
validation_Agriculture_23,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,extract_fail,no marker; ends with '**B. Herbicide damage**' (gold D),D. Phytoplasma,none,"The image shows detached branches of *Gliricidia sepium*, with some leaves appearing sickly and yellowed (on the left), while adjacent branches display normal, healthy green foliage. The asymmetry in ",,fail,stop,287,0.5326,0.0,False
validation_Agriculture_27,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,"D. Yes, the fungi that make up the sooty mould family can be grown in culture.",phrase,A,A,rule,stop,278,0.5439,0.0,False
validation_Agriculture_3,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,short_answer_no_marker,,A. Algae,none,C. Powdery mildew,C,rule,stop,8,1.4706,0.0,False
validation_Agriculture_4,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,E. Pot bound,phrase,D,D,rule,stop,280,0.5409,0.0,False
validation_Agriculture_5,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,short_answer_no_marker,,C. Chemical,none,D. Organic,D,rule,stop,4,1.8,0.0,False
validation_Agriculture_8,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,short_answer_no_marker,,B. Bacterial infection,none,D. Fungal infection,D,rule,stop,6,1.4211,0.0,False
validation_Agriculture_9,Agriculture,multiple-choice,4. 객관식 오답,mc_wrong,,,D. High relative humidity,phrase,B,B,rule,stop,294,0.5421,0.0,False
validation_Architecture_and_Engineering_16,Architecture_and_Engineering,multiple-choice,4. 객관식 오답,mc_wrong,,,B. 1744veh/mi,phrase,A,A,rule,stop,9395,0.3136,0.076,False
validation_Architecture_and_Engineering_2,Architecture_and_Engineering,multiple-choice,4. 객관식 오답,mc_wrong,,,A. 35.567 $\approx$ 36,phrase,C,C,rule,stop,1481,0.3869,0.034,True
validation_Architecture_and_Engineering_22,Architecture_and_Engineering,multiple-choice,4. 객관식 오답,mc_wrong,,,"B. $\angle A = 263°45'$,$\angle B = 261°00'$,$\angle C = 243°00'$,$\angle D = 265°15'$,$\angle E = 227°00'$",boxed,C,C,rule,stop,9486,0.2941,0.033,False
validation_Architecture_and_Engineering_23,Architecture_and_Engineering,multiple-choice,4. 객관식 오답,mc_wrong,,,"D. Bearing AE = 87°,47':Grade = 1.58 in 652.33 = 1 in 413",phrase,A,A,rule,stop,13220,0.1256,0.645,False
validation_Architecture_and_Engineering_27,Architecture_and_Engineering,multiple-choice,4. 객관식 오답,mc_wrong,,,D. Distance CB = 748.40',boxed,A,A,rule,stop,13618,0.1315,0.63,False
validation_Art_11,Art,multiple-choice,4. 객관식 오답,mc_wrong,,,C. GEORGES SEURAT,phrase,B,B,rule,stop,129,0.6479,0.0,False
validation_Art_14,Art,multiple-choice,4. 객관식 오답,mc_wrong,,,C. Charles Ginner,phrase,A,A,rule,stop,100,0.6406,0.0,False
validation_Art_15,Art,multiple-choice,4. 객관식 오답,mc_wrong,,,B. MICHELANGELO BUONARROTI,phrase,D,D,rule,stop,120,0.7018,0.0,False
validation_Art_16,Art,multiple-choice,4. 객관식 오답,mc_wrong,short_answer_no_marker,,B. False,none,A. True,A,rule,stop,4,2.1429,0.0,False
validation_Art_19,Art,multiple-choice,4. 객관식 오답,mc_wrong,,,D. Photo 3,phrase,A,A,rule,stop,262,0.5119,0.0,False
